name,generation,price,city,departament
Pulsar N250 Fi Abs,2023,13750000.0,Antonio Nariño , Bogotá D.C.
Pulsar N250 Fi Abs,2023,13999000.0,Antonio Nariño , Bogotá D.C.
Pulsar N250,2023,13999000.0,Antonio Nariño , Bogotá D.C.
Pulsar Ns 200 Fi Abs,2023,13399000.0,Antonio Nariño , Bogotá D.C.
Pulsar Ns 200 Fi Pulsarmania,2023,12199000.0,Engativa , Bogotá D.C.
Triumph Trident,2023,58990000.0,Usaquén , Bogotá D.C.
Triumph Street Triple Rs,2023,79990000.0,Usaquén , Bogotá D.C.
Dominar 400,2023,17499000.0,Engativa , Bogotá D.C.
Pulsar Rs 200 Fi ,2023,13724000.0,Teusaquillo , Bogotá D.C.
Dominar 400 Touring Modelo 2023,2023,17674000.0,Teusaquillo , Bogotá D.C.
Bajaj Pulsar Ns  200 Fi 2024,2023,11899000.0,Antonio Nariño , Bogotá D.C.
Moto Tvs Raider 125  Nueva Bucaramanga,2024,7699999.0,Bucaramanga , Santander
Cuatrimoto A Gasolina Para Niños 50cc,2023,2900000.0,Medellín , Antioquia
Cuatrimoto Para Niños 50cc A Gasolina Encendido Electrónico,2023,2900000.0,Medellín , Antioquia
Yamaha Nmax 1552,2024,18800000.0,Floridablanca , Santander
Suzuki Dr 150 Modelo 2023 ,2023,11130000.0,Barrios Unidos , Bogotá D.C.
Honda Cb190r 2024 Pereira ,2023,13950000.0,Pereira , Risaralda
Honda Cb190r 2024 Barranquilla ,2023,13950000.0,Barranquilla , Atlántico
Honda Cb190r 2024 Cartagena ,2023,13950000.0,Cartagena De Indias , Bolívar
Honda Cb190r 2024 Medellín ,2023,13950000.0,Medellín , Antioquia
Honda Cb190r 2024 7 De Agosto,2023,13950000.0,Barrios Unidos , Bogotá D.C.
Honda Cb190r 2024 Cali,2023,13950000.0,Cali , Valle Del Cauca
Dominar 400 ,2023,17430000.0,Antonio Nariño , Bogotá D.C.
Pulsar Ns 200 Fi Modelo 2024,2023,11899000.0,Antonio Nariño , Bogotá D.C.
Dominar 250 2023,2023,14449000.0,Teusaquillo , Bogotá D.C.
Moto Cross 110cc Nueva Srm A Gasolina Para Niños,2023,4600000.0,Medellín , Antioquia
Motos A Gasolina Para Niños 60cc Nuevas Encendido Electronic,2023,2200000.0,Medellín , Antioquia
Pulsar N 250 Fi Abs ,2024,13350000.0,Teusaquillo , Bogotá D.C.
Pulsarmania Ns 200 Fi A Credito Bogota ,2024,12199000.0,Antonio Nariño , Bogotá D.C.
Bajaj,2023,11624000.0,Engativa , Bogotá D.C.
"Honda , Xr 190 L , Modelo 2023",2023,13965000.0,Barrios Unidos , Bogotá D.C.
Pulsarmania 180 Fi ,2023,9474000.0,Antonio Nariño , Bogotá D.C.
Bajaj Pulsar 180 Fi ,2023,9399000.0,Antonio Nariño , Bogotá D.C.
Pulsamania Ns 200 Fi ,2024,12199000.0,Teusaquillo , Bogotá D.C.
Boxer 150 X ,2023,6899900.0,Antonio Nariño , Bogotá D.C.
Pulsar 180 Fi,2023,9224000.0,Antonio Nariño , Bogotá D.C.
Triumph Tiger 1200 Rally Explorer,2023,159990000.0,Usaquén , Bogotá D.C.
Dominar 400 Touring 2023,2023,17599000.0,Teusaquillo , Bogotá D.C.
Dominar 400 Turing   ,2023,17724000.0,Engativa , Bogotá D.C.
Bajaj Pulsar 180 Neon Fi,2023,9274000.0,Medellín , Antioquia
Dominar D 250 Touring Accesorizada ,2024,14999000.0,Teusaquillo , Bogotá D.C.
Bajaj,2023,9274000.0,Antonio Nariño , Bogotá D.C.
Dominar 400 Touring Accesorizada ,2023,18149000.0,Antonio Nariño , Bogotá D.C.
Pulsarmania Ns 200 Fi,2023,12199000.0,Antonio Nariño , Bogotá D.C.
Pulsar Ns 200 Fi ,2023,11324000.0,Barrios Unidos , Bogotá D.C.
Pulsarmania Ns 200,2023,11624000.0,Antonio Nariño , Bogotá D.C.
Pulsar Ns 200 Fi A Credito Bogota ,2024,11899000.0,Antonio Nariño , Bogotá D.C.
Pulsar Ns 160 Fi 2024,2023,9999000.0,Antonio Nariño , Bogotá D.C.
Pulsar Rs 200 Fi Abs ,2023,13649000.0,Ciudad Bolívar , Bogotá D.C.
Pulsar Ns 125,2023,7524000.0,Antonio Nariño , Bogotá D.C.
Honda Xre300,2023,27800000.0,Suba , Bogotá D.C.
  Dominar 250 ,2023,14449000.0,Barrios Unidos , Bogotá D.C.
Bajaj Boxer Ct 100 Es ,2024,6350000.0,Medellín , Antioquia
Victory Bomber 125 2024,2024,4999000.0,Pereira , Risaralda
Honda Xre190 Dlx 2024 Pereira ,2023,17820000.0,Pereira , Risaralda
Honda Xre190 Dlx 2024 Barranquilla ,2023,17820000.0,Barranquilla , Atlántico
Honda Xre190 Dlx 2024 Cartagena ,2023,17820000.0,Cartagena De Indias , Bolívar
Honda Xre190 Dlx 2024 Medellín ,2023,17820000.0,Medellín , Antioquia
Honda Xre190 Dlx 2024 7 De Agosto,2023,17820000.0,Barrios Unidos , Bogotá D.C.
Honda Xre190 Dlx 2024 Cali,2023,17820000.0,Cali , Valle Del Cauca
Honda Dio 110 Dlx 2024 Cali,2023,7595000.0,Cali , Valle Del Cauca
Bajaj 2023,2023,13774000.0,Engativa , Bogotá D.C.
Pulsarmania Ns 200 Fi Abs,2024,13999000.0,Teusaquillo , Bogotá D.C.
Honda Dio Dlx,2024,7595000.0,Suba , Bogotá D.C.
Pulsar Ns 200 Fi Abs Modelo 2024,2023,13399000.0,Teusaquillo , Bogotá D.C.
Dominar 400,2023,17299000.0,Engativa , Bogotá D.C.
Suzuki Gixxer Fi 150 Abs ,2023,11147000.0,Barrios Unidos , Bogotá D.C.
"Honda, Xre 300 Dlx Adventure , Modelo 2023 ",2023,29600000.0,Barrios Unidos , Bogotá D.C.
Benelli Trk 502x 2023,2023,37990000.0,Barrios Unidos , Bogotá D.C.
Pulsar N 250 Fi Abs ,2024,14299000.0,Cali , Valle Del Cauca
Bajaj Pulsar Ns 200 Fi,2024,11899000.0,Bello , Antioquia
Bajaj Boxer S ,2024,5499000.0,Bello , Antioquia
Bajaj Pulsar N250 Fi Abs 2024 Manizales,2023,14350000.0,Manizales , Caldas
Pulsar N 250 ,2023,13999000.0,Engativa , Bogotá D.C.
Honda Xr190l 2024 Cartagena ,2023,14315000.0,Cartagena De Indias , Bolívar
Honda Xr190l 2024 Barranquilla ,2023,14315000.0,Barranquilla , Atlántico
Honda Xr190l 2024 Pereira ,2023,14315000.0,Pereira , Risaralda
Honda Xr190l 2024 7 De Agosto,2023,14315000.0,Barrios Unidos , Bogotá D.C.
Honda Xr190l 2024 Cali,2023,14315000.0,Cali , Valle Del Cauca
Boxer Ct 100 Alloy A Credito Bogota ,2024,6449000.0,Antonio Nariño , Bogotá D.C.
Dominar 250,2023,14449000.0,Cali , Valle Del Cauca
Dominar 400 Touring Ug2,2023,17724000.0,Cali , Valle Del Cauca
Pulsar Ns 200 Fi Abs,2024,13324000.0,Cali , Valle Del Cauca
Dominar 400 Touring,2023,17724000.0,Bogota , Cundinamarca
Pulsar Ns 160 Fi,2023,9299000.0,Engativa , Bogotá D.C.
Bajaj  Pulsar Ns 125,2023,7699000.0,Antonio Nariño , Bogotá D.C.
Pulsar Ns 200 Fi 2024,2023,11899000.0,Cali , Valle Del Cauca
Bajaj Boxer Ct 100 Es 2024,2023,6350000.0,Antonio Nariño , Bogotá D.C.
Dominar 250 2023,2022,14499000.0,Teusaquillo , Bogotá D.C.
Dominar 400 Ug2 Touring,2024,18149000.0,Cali , Valle Del Cauca
Cuatrimoto Srm 125cc 4 Tiempos Ranchera Raptor,2023,7500000.0,Medellín , Antioquia
Moto Cross Para Niños A Gasolina Pitbike 60cc Motocross,2023,2200000.0,Medellín , Antioquia
Benelli Tnt 150 I 2024,2022,10990000.0,Pereira , Risaralda
Victory Life 125 2024,2024,7349000.0,Pereira , Risaralda
"Honda Xr 150 L, Modelo 2023",2023,11130000.0,Barrios Unidos , Bogotá D.C.
Honda Navi 2024 Barranquilla ,2023,7240000.0,Barranquilla , Atlántico
Honda Navi 2024 Cartagena ,2023,7240000.0,Cartagena De Indias , Bolívar
Honda Navi 2024 Pereira ,2023,7240000.0,Pereira , Risaralda
Honda Navi 2024 Medellín ,2023,7240000.0,Medellín , Antioquia
Honda Navi 2024 7 De Agosto,2023,7240000.0,Barrios Unidos , Bogotá D.C.
Honda Navi 2024 Cali,2023,7240000.0,Cali , Valle Del Cauca
Pulsarmania Ns 200 Fi Abs Modelo 2023 ,2023,13199000.0,Ciudad Bolívar , Bogotá D.C.
Dominar 250,2023,14449000.0,Teusaquillo , Bogotá D.C.
Dominar 400 Touring,2024,18149000.0,Engativa , Bogotá D.C.
Pulsar Ns 200 Fi ,2023,11899000.0,Cali , Valle Del Cauca
Pulsar  180  Fi 2023 Bogotá Version Pulsarmania,2022,9474000.0,Engativa , Bogotá D.C.
Discover 125 St  2024,2023,7674000.0,Antonio Nariño , Bogotá D.C.
Pulsar Ns 200 Fi Pulsarmania,2022,11624000.0,Chapinero , Bogotá D.C.
Dominar 250 Cali,2023,14999000.0,Cali , Valle Del Cauca
Fatbob 114 ,2022,150800000.0,Barranquilla , Atlántico
Bajaj Dominar D400 Pro Touring ,2023,17724000.0,Bello , Antioquia
Bajaj Pulsar Ns 200 Fi Abs Pulsarmanía 2024 Pereira,2023,13699000.0,Pereira , Risaralda
Bajaj Discover 125 St-r 2024 Manizales,2023,7674000.0,Manizales , Caldas
Bajaj Pulsar Ns 200 Fi Abs Pulsarmanía 2024 Manizales,2023,13699000.0,Manizales , Caldas
Bajaj Pulsar Ns 200 Fi 2024 Manizales,2023,11899000.0,Manizales , Caldas
Bajaj Dominar 400 Touring Abs 2024 Manizales,2023,18149000.0,Manizales , Caldas
Xpulse 200 Fi,2023,12049000.0,Barrios Unidos , Bogotá D.C.
Honda Pcx 160 Abs 2024 Medellín ,2024,17550000.0,Medellín , Antioquia
Honda Pcx 160 Abs 2024 7 De Agosto,2024,17550000.0,Barrios Unidos , Bogotá D.C.
Suzuki Gixxer Sf Fi Abs 150 Modelo 2024,2024,12097000.0,Barrios Unidos , Bogotá D.C.
Honda Xr150l 2024 Pereira ,2023,11130000.0,Pereira , Risaralda
Honda Xr150l 2024 Barranquilla ,2023,11130000.0,Barranquilla , Atlántico
Honda Xr150l 2024 Cartagena,2023,11130000.0,Cartagena De Indias , Bolívar
Honda Xr150l 2024 Medellín ,2023,11130000.0,Medellín , Antioquia
Honda Xr150l 2024 7 De Agosto,2023,11130000.0,Barrios Unidos , Bogotá D.C.
Honda Xr150l 2024 Cali,2023,11130000.0,Cali , Valle Del Cauca
Pulsar N250,2024,14390000.0,Medellín , Antioquia
Honda Pcx 160 Abs 2024 Cali,2024,17550000.0,Cali , Valle Del Cauca
Discover 125,2023,7424000.0,Engativa , Bogotá D.C.
Dominar D400 Touring 2024,2024,18149000.0,Teusaquillo , Bogotá D.C.
Pulsar Ns 200 Pulsarmania,2024,12199000.0,Medellín , Antioquia
Discover 125 St-r,2024,7750000.0,Engativa , Bogotá D.C.
"Honda , Pcx 150 Dlx, Modelo 2023 ",2023,16300000.0,Barrios Unidos , Bogotá D.C.
Tvs Raider 2024,2024,7699999.0,Barrios Unidos , Bogotá D.C.
Bajaj Boxer Ct 125,2024,6850000.0,Medellín , Antioquia
Ktm Duke 200 Cc  Nueva Bucaramanga,2023,14590000.0,Bucaramanga , Santander
Pulsar N 250,2023,13750000.0,Engativa , Bogotá D.C.
Pulsar Rs 200 Fi Abs,2023,13774000.0,Teusaquillo , Bogotá D.C.
Pulsar Ns 125 Cali ,2024,7699000.0,Cali , Valle Del Cauca
Bajaj Discover 125 St-r,2024,7750000.0,Medellín , Antioquia
Ktm Rc 200 Ng,2023,20990000.0,Barrios Unidos , Bogotá D.C.
Tvs Apache 200 2024,2022,11399999.0,Barrios Unidos , Bogotá D.C.
Cuatrimoto 110cc Niño 4 Tiempos Gasolina,2022,4899900.0,Pereira , Risaralda
Brp Can Am Maverick Trail,2023,99990000.0,Chapinero , Bogotá D.C.
Yamaha Xtz 250 Modelo 2024 0 Km ,2024,25100000.0,Medellín , Antioquia
Bajaj Dominar D400,2023,17574000.0,Bello , Antioquia
Bajaj Pulsar Ns 200 Fi  2024 Pereira,2023,11899000.0,Manizales , Caldas
Bajaj Discover 125 St- R 2024 Pereira,2023,7674000.0,Pereira , Risaralda
Can-am Maverick X3 Rs Turbo Rr,2023,244791000.0,Medellín , Antioquia
Hunk 160r,2023,9999000.0,Barrios Unidos , Bogotá D.C.
Honda Cb 125f,2024,3491300.0,Suba , Bogotá D.C.
Honda Pcx 160 Abs 2024 Pereira ,2024,17550000.0,Pereira , Risaralda
Seatmo125,2023,34490000.0,Engativa , Bogotá D.C.
Honda Xre300 Abs Dlx 2024 Pereira ,2023,31100000.0,Pereira , Risaralda
Honda Xre300 Abs Dlx 2024 Barranquilla ,2023,31100000.0,Barranquilla , Atlántico
Honda Xre300 Abs Dlx 2024 Cartagena ,2023,31100000.0,Cartagena De Indias , Bolívar
Honda Xre300 Abs Dlx 2024 Medellín ,2023,31100000.0,Medellín , Antioquia
Honda Xre300 Abs Dlx 2024 7 De Agosto,2023,31100000.0,Barrios Unidos , Bogotá D.C.
Honda Xre300 Abs Dlx 2024 Cali,2023,31100000.0,Cali , Valle Del Cauca
Honda Wave110s 2024 Pereira ,2023,7770000.0,Pereira , Risaralda
Honda Wave110s 2024 Barranquilla ,2023,7770000.0,Barranquilla , Atlántico
Honda Wave110s 2024 Cartagena ,2023,7770000.0,Cartagena De Indias , Bolívar
Honda Wave110s 2024 Medellín ,2023,7770000.0,Medellín , Antioquia
Honda Wave110s 2024 7 De Agosto,2023,7770000.0,Barrios Unidos , Bogotá D.C.
Honda Wave110s 2024 Cali,2023,7770000.0,Cali , Valle Del Cauca
Honda Xr190l 2024 Medellín ,2023,14315000.0,Medellín , Antioquia
Boxer 150 X,2024,6899000.0,Antonio Nariño , Bogotá D.C.
Honda Xblade160 Abs 2024 Medellín,2023,11600000.0,Medellín , Antioquia
Honda Xblade160 Abs 2024 Pereira,2023,11600000.0,Pereira , Risaralda
Honda Xblade160 Abs 2024 Cartagena,2023,11600000.0,Cartagena De Indias , Bolívar
Honda Xblade160 Abs 2024 Barranquilla,2023,11600000.0,Barranquilla , Atlántico
Honda Xblade160 Abs 2024 7 De Agosto,2023,11600000.0,Barrios Unidos , Bogotá D.C.
Honda Xblade160 Abs 2024 Cali,2023,11600000.0,Cali , Valle Del Cauca
Honda Cb125f 2024 Cali.,2023,7500000.0,Cali , Valle Del Cauca
Honda Cb125f 2024 Pereira ,2023,7500000.0,Pereira , Risaralda
Honda Cb125f 2024 Barranquilla,2023,7500000.0,Barranquilla , Atlántico
Honda Cb125f 2024 Cartagena ,2023,7500000.0,Cartagena De Indias , Bolívar
Honda Cb125f 2024 Medellín,2023,7500000.0,Medellín , Antioquia
Honda Cb125f 2024 7 De Agosto,2023,7500000.0,Barrios Unidos , Bogotá D.C.
Pulsar Ns 125 ,2023,7524000.0,Engativa , Bogotá D.C.
Honda Cb125f 2024 Popayán,2023,7500000.0,Popayán , Cauca
Pulsar Ns 200 Fi ,2023,11199000.0,Ciudad Bolívar , Bogotá D.C.
Boxer Ct 125,2023,6549000.0,Bogota , Cundinamarca
Lleva Tu Nueva Moto Bajaj Cero Kilómetros,2023,11624000.0,Engativa , Bogotá D.C.
Pulsar Ns 200 Fi,2024,11899000.0,Engativa , Bogotá D.C.
Svartpilen 200. Nuevo Color ,2023,17990000.0,Kennedy , Bogotá D.C.
Ktm 200 Duke Acc ,2023,14590000.0,Kennedy , Bogotá D.C.
Apache 200 Fi Abs La Mas Completa En Su Segmento ,2023,13599000.0,Kennedy , Bogotá D.C.
"Honda, Cb 190 R, Modelo 2023 ",2023,13750000.0,Barrios Unidos , Bogotá D.C.
Benelli Trk 251 2022,2022,21490000.0,Barrios Unidos , Bogotá D.C.
Dominar 400 Touring Ug2,2023,17724000.0,Cali , Valle Del Cauca
Discover Str 125 Credito Para Moto Valle Cali,2023,7424000.0,Cali , Valle Del Cauca
Dominar 400 Pro Touring,2023,18149000.0,Cali , Valle Del Cauca
Pulsar Ns 200 Fi 2023,2023,11899000.0,Engativa , Bogotá D.C.
Bajaj Pulsar Ns 200 Fi 2024 Edicion Pulsar Mania,2023,12199000.0,Antonio Nariño , Bogotá D.C.
Pulsar 180 Fi Neon Bajaj,2023,9274000.0,Engativa , Bogotá D.C.
Dominar 400 2023 Bogotá,2022,17574000.0,Engativa , Bogotá D.C.
Pulsar Ns 200 Fi Abs 2023 Bogotá,2022,13024000.0,Engativa , Bogotá D.C.
Pulsar 180 Fi Gt,2023,9274000.0,Engativa , Bogotá D.C.
Duke 200 Ng 2023,2023,16990000.0,Barrios Unidos , Bogotá D.C.
Moto Victory Zontes 155 U Nueva Bucaramanga,2024,15490000.0,Bucaramanga , Santander
Moto Ktm 200 Duke Ng Nueva Bucaramanga,2023,16990000.0,Bucaramanga , Santander
Tvs Apache 200 Fi Abs 2024,2023,13299999.0,Usaquén , Bogotá D.C.
Tvs Apache 160 4v 2024,2024,9699999.0,Barrios Unidos , Bogotá D.C.
Moto Cross Highper 50cc 2tiempos Gasolina,2023,6200000.0,Medellín , Antioquia
Bajaj Boxer Ct 100 Es ,2024,6350000.0,Bello , Antioquia
Bajaj Pulsar N250,2023,13999000.0,Bello , Antioquia
Bajaj Discover 125 St R ,2023,7750000.0,Bello , Antioquia
Ducati Multistrada V4 Pikes Peak 2023,2023,173000000.0,Medellín , Antioquia
Honda Dio 110 - 2023,2023,7400000.0,Usaquén , Bogotá D.C.
Honda Cb125f 2024 - 0km,2024,7500000.0,Usaquén , Bogotá D.C.
Yamaha Ycz110 Modelo 2024,2024,6600000.0,Medellín , Antioquia
Motocicleta Aprilia Tuono V4 1100 2022 Nueva 0km Disponible,2022,94990000.0,Suba , Bogotá D.C.
Honda Xr 190l 0km - 2024,2023,14315000.0,Usaquén , Bogotá D.C.
Vespa Vxl 150cc Azul 2023,2023,14990000.0,Chapinero , Bogotá D.C.
Motocarro Ayco Tipo Volqueta Doble Llanta ,2023,23900000.0,Engativa , Bogotá D.C.
Dominar 400 Pro Touring ,2023,17724000.0,Medellín , Antioquia
Benelli 180 S 2023,2023,12949000.0,Kennedy , Bogotá D.C.
Bomber 125,2023,5349000.0,Kennedy , Bogotá D.C.
Boxer 150x,2024,6899000.0,Medellín , Antioquia
Motocicleta Aprilia Rs660 Lava Red 2022 0km Disponible ,2022,69989000.0,Suba , Bogotá D.C.
Yamaha Fz-15 Black Gold  Edición Exclusiva Modelo 2024,2024,10850000.0,Medellín , Antioquia
Eco Deluxe Cw Hero 2023,2022,5990000.0,Popayán , Cauca
Pulsar Ns 200 Fi Abs,2024,13399000.0,Medellín , Antioquia
Victory Black 171 2024,2023,12990000.0,Kennedy , Bogotá D.C.
Moto Cross 50cc Para Niños A Gasolina,2023,2200000.0,Medellín , Antioquia
Yamaha Crypton Dark Edición Especial Modelo 2024,2024,8520000.0,Medellín , Antioquia
Honda Xr 150l- 2023,2023,11130000.0,Usaquén , Bogotá D.C.
Bajaj Pulsar Ns 160 Fi ,2024,9999000.0,Medellín , Antioquia
Bajaj Boxer S,2024,5499000.0,Medellín , Antioquia
Bajaj Dominar 250 ,2023,14449000.0,Medellín , Antioquia
Bajaj Dominar 400,2023,17574000.0,Medellín , Antioquia
Motocarro Torito Sencillo 2023 ,2022,16700000.0,Engativa , Bogotá D.C.
Remolque Para Motos ,2023,8500000.0,Engativa , Bogotá D.C.
Hero Xpulse 200 Fi Advance - 2024,2024,12399000.0,Puente Aranda , Bogotá D.C.
Pulsar Ns 200 Fi Abs Pulsarmania,2023,13324000.0,Engativa , Bogotá D.C.
Polaris Rzr 1000 Xp 2022,2022,164900000.0,Pereira , Risaralda
Pulsar 180 Fi,2023,9274000.0,Bogota , Cundinamarca
Yamaha Szrr 2.0 Dark Edición Especial Modelo 2024,2024,9600000.0,Medellín , Antioquia
Moto Eléctrica Aima ,2022,9990000.0,Kennedy , Bogotá D.C.
Yamaha Fz 150 Edicion Especial Black Gold Modelo 2024 0 Km ,2024,10850000.0,Medellín , Antioquia
